2013-08-14 11:29:54 directory stylesheets/ 
2013-08-14 11:29:59    create stylesheets/style.css 
2013-08-14 11:33:15      Copy /archive.php
2013-08-14 11:33:15      Copy /dummy-content.php
2013-08-14 11:33:15      Copy /footer.php
2013-08-14 11:33:15      Copy /functions.php
2013-08-14 11:33:15      Copy /header.php
2013-08-14 11:33:15      Copy /index.php
2013-08-14 11:33:15      Copy /screenshot.png
2013-08-14 11:33:15      Copy /search.php
2013-08-14 11:33:15      Copy /searchform.php
2013-08-14 11:33:15      Copy /sidebar.php
2013-08-14 11:33:15      Copy /single.php
2013-08-14 11:33:15      Copy /style.css
2013-08-14 11:33:15      Copy /images/arrows.png
2013-08-14 11:33:15      Copy /images/baseline.png
2013-08-14 11:33:15      Copy /images/favicon.ico
2013-08-14 11:33:15      Copy /images/logo.png
2013-08-14 11:33:15      Copy /images/jenkins/baseline-icon.png
2013-08-14 11:33:15      Copy /images/jenkins/grid-icon.png
2013-08-14 11:33:17    Minify /js/scripts.js
2013-08-14 11:33:17      Copy /style/config.rb
2013-08-14 11:33:17      Copy /style/fire_app_log.txt
2013-08-14 11:33:17      Copy /stylesheets/style.css
2013-08-14 11:35:39    remove .sass-cache/ 
2013-08-14 11:35:39    remove stylesheets/style.css 
2013-08-14 11:35:43    create stylesheets/style.css 
2013-08-14 11:36:30    remove .sass-cache/ 
2013-08-14 11:36:30    remove style.css 
2013-08-14 11:36:33    create style.css 
2013-08-14 11:41:13    remove .sass-cache/ 
2013-08-14 11:41:13    remove style.css 
2013-08-14 11:41:16    create style.css 
2013-08-14 11:42:56    remove .sass-cache/ 
2013-08-14 11:42:56    remove style.css 
2013-08-14 11:42:58    create style.css 
2013-08-14 15:18:19 identical style.css 
2013-08-14 15:18:30 overwrite style.css 
2013-08-14 15:18:46 overwrite style.css 
2013-08-14 15:19:30 overwrite style.css 
2013-08-14 15:20:02 overwrite style.css 
2013-08-14 15:20:45 overwrite style.css 
2013-08-14 15:47:18 identical style.css 
2013-08-14 15:47:30 overwrite style.css 
2013-08-14 15:47:44 overwrite style.css 
2013-08-14 15:48:33 overwrite style.css 
2013-08-14 15:57:42 overwrite style.css 
2013-08-14 15:58:48 overwrite style.css 
2013-08-14 16:01:17 overwrite style.css 
2013-08-14 16:02:37 overwrite style.css 
2013-08-14 16:05:11 overwrite style.css 
2013-08-14 16:05:24 overwrite style.css 
2013-08-14 16:05:28 overwrite style.css 
2013-08-14 16:06:05 overwrite style.css 
2013-08-14 16:14:08 overwrite style.css 
2013-08-14 16:14:41 overwrite style.css 
2013-08-14 16:17:45 overwrite style.css 
2013-08-14 16:20:01 overwrite style.css 
2013-08-14 16:20:17 overwrite style.css 
2013-08-14 16:20:38 overwrite style.css 
2013-08-14 16:20:58 overwrite style.css 
2013-08-14 16:24:46 overwrite style.css 
2013-08-14 16:25:07 overwrite style.css 
2013-08-14 16:25:20 overwrite style.css 
2013-08-14 16:25:43 overwrite style.css 
2013-08-14 16:25:56 overwrite style.css 
2013-08-14 16:27:29 overwrite style.css 
2013-08-14 16:31:27 overwrite style.css 
2013-08-14 16:31:42 overwrite style.css 
2013-08-14 16:33:28 overwrite style.css 
2013-08-14 16:34:14 overwrite style.css 
2013-08-14 17:05:10 overwrite style.css 
2013-08-14 17:05:56 identical style.css 
2013-08-16 16:48:40 overwrite style.css 
2013-08-16 16:48:57 overwrite style.css 
2013-08-16 16:49:09 overwrite style.css 
2013-08-16 16:50:20 overwrite style.css 
